Reference, Value, Footprint, Datasheet
"U1","ATMEGA32-16PU","Housings_QFP:TQFP-44_10x10mm_Pitch0.8mm",""
"C14","100uF","Capacitors_SMD:CP_Elec_6.3x5.3",""
"C13","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"C8","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"Y1","16MHZ","Crystals:Crystal_HC49-U_Vertical",""
"C2","22pF","Capacitors_SMD:C_1206_HandSoldering",""
"C3","22pF","Capacitors_SMD:C_1206_HandSoldering",""
"CON1","AVR-ISP-10","Pin_Headers:Pin_Header_Straight_2x05_Pitch2.54mm",""
"R2","10K","Resistors_SMD:R_1206_HandSoldering",""
"SW1","SW_Push","Buttons_Switches_THT:SW_PUSH_6mm_h13mm",""
"C4","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"L1","10uH","Inductors_SMD:L_1206_HandSoldering",""
"D2","RED","LEDs:LED_1206_HandSoldering",""
"D3","GREEN","LEDs:LED_1206_HandSoldering",""
"R3","270","Resistors_SMD:R_1206_HandSoldering",""
"R4","270","Resistors_SMD:R_1206_HandSoldering",""
"U2","MAX485E","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"C12","330nF","Capacitors_SMD:C_1206_HandSoldering",""
"C11","100uF","Capacitors_SMD:CP_Elec_6.3x5.3",""
"JP1","Jumper","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"R6","120","Resistors_SMD:R_1206_HandSoldering",""
"C5","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"C6","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"C7","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"J1","Conn_01x08","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm",""
"J2","Conn_01x05","Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm",""
"U4","L7805","TO_SOT_Packages_THT:TO-220-3_Vertical",""
"U3","LM393","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"R8","10K","Resistors_SMD:R_1206_HandSoldering",""
"R7","10K","Resistors_SMD:R_1206_HandSoldering",""
"RV1","10K","Potentiometers:Potentiometer_Trimmer_ACP_CA6v_Horizontal",""
"C9","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"J3","Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"BZ1","Buzzer","Buzzers_Beepers:Buzzer_12x9.5RM7.6",""
"R9","2K2","Resistors_SMD:R_1206_HandSoldering",""
"Q1","BC847","TO_SOT_Packages_SMD:SOT-23",""
"SW2","SW_DIP_x08","Buttons_Switches_THT:SW_DIP_x8_W7.62mm_Slide",""
"R1","330","Resistors_SMD:R_1206_HandSoldering",""
"C1","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"D1","1N4004","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"D6","1N4004","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"D5","1N4004","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"J6","Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"J7","Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"R5","270","Resistors_SMD:R_1206_HandSoldering",""
"D4","BLUE","LEDs:LED_1206_HandSoldering",""
"C10","100nF","Capacitors_SMD:C_1206_HandSoldering",""
"R10","10K","Resistors_SMD:R_1206_HandSoldering",""
"J5","RJ45","Connectors:RJ45_8",""
"J4","RJ45","Connectors:RJ45_8",""
